Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
hydrating-face-serum,Hydrating Face Serum,<p>Intensely hydrating serum with hyaluronic acid and vitamin B5. Plumps and moisturizes for a dewy glowing complexion.</p>,Glow Lab,Serums,"skincare, serums, hydrating, bestseller",TRUE,Size,30ml,,,,,GL-SER-001,50,shopify,45,deny,manual,48.00,60.00,TRUE,TRUE,,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=800,1,Hydrating face serum bottle,FALSE,,,,,,,new,,,,,,,,g,,12.00,active
hydrating-face-serum,,,,,,,,50ml,,,,,GL-SER-002,80,shopify,30,deny,manual,72.00,90.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,18.00,active
vitamin-c-brightening-cream,Vitamin C Brightening Cream,<p>Powerful brightening moisturizer with stabilized vitamin C and niacinamide. Evens skin tone and reduces dark spots.</p>,Glow Lab,Moisturizers,"skincare, moisturizers, brightening, vitamin c",TRUE,Title,Default Title,,,,,GL-MCR-001,70,shopify,35,deny,manual,56.00,70.00,TRUE,TRUE,,https://images.unsplash.com/photo-1611930022073-b7a4ba5fcccd?w=800,1,Vitamin C brightening cream jar,FALSE,,,,,,,new,,,,,,,,g,,14.00,active
gentle-cleansing-oil,Gentle Cleansing Oil,<p>Luxurious oil-to-milk cleanser that dissolves makeup without stripping the skin. Leaves skin soft and balanced.</p>,Pure Beauty,Cleansers,"skincare, cleansers, oil, gentle",TRUE,Title,Default Title,,,,,PB-CLN-001,180,shopify,40,deny,manual,34.00,42.00,TRUE,TRUE,,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=800,1,Cleansing oil bottle,FALSE,,,,,,,new,,,,,,,,g,,8.50,active
retinol-night-treatment,Retinol Night Treatment,<p>Advanced anti-aging night treatment with encapsulated retinol. Reduces fine lines while you sleep.</p>,Glow Lab,Treatments,"skincare, anti-aging, retinol, night",TRUE,Strength,0.25% Gentle,,,,,GL-RET-001,45,shopify,25,deny,manual,68.00,85.00,TRUE,TRUE,,https://images.unsplash.com/photo-1608248597279-f99d160bfcbc?w=800,1,Retinol treatment serum,FALSE,,,,,,,new,,,,,,,,g,,17.00,active
retinol-night-treatment,,,,,,,,0.5% Regular,,,,,GL-RET-002,45,shopify,30,deny,manual,68.00,85.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,17.00,active
retinol-night-treatment,,,,,,,,1.0% Advanced,,,,,GL-RET-003,45,shopify,20,deny,manual,78.00,98.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,19.50,active
clay-purifying-mask,Clay Purifying Mask,<p>Deep-cleansing clay mask with kaolin and bentonite. Draws out impurities and minimizes pores.</p>,Pure Beauty,Masks,"skincare, masks, clay, pores",TRUE,Title,Default Title,,,,,PB-MSK-001,100,shopify,28,deny,manual,38.00,48.00,TRUE,TRUE,,https://images.unsplash.com/photo-1596755389378-c31d21fd1273?w=800,1,Green clay face mask,FALSE,,,,,,,new,,,,,,,,g,,9.50,active
rose-facial-mist,Rose Facial Mist,<p>Refreshing facial mist with organic rose water and aloe vera. Hydrates and sets makeup throughout the day.</p>,Botanical Bliss,Toners,"skincare, mists, rose, hydrating",TRUE,Title,Default Title,,,,,BB-MST-001,120,shopify,50,deny,manual,26.00,32.00,TRUE,TRUE,,https://images.unsplash.com/photo-1601049541289-9b1b7bbbfe19?w=800,1,Rose facial mist spray,FALSE,,,,,,,new,,,,,,,,g,,6.50,active
nourishing-lip-oil,Nourishing Lip Oil,<p>Glossy lip oil with vitamin E and jojoba. Hydrates and adds subtle color while protecting lips.</p>,Glow Lab,Lip Care,"makeup, lips, oil, hydrating",TRUE,Shade,Clear Gloss,,,,,GL-LIP-001,15,shopify,60,deny,manual,22.00,,TRUE,TRUE,,https://images.unsplash.com/photo-1586495777744-4413f21062fa?w=800,1,Lip oil tube,FALSE,,,,,,,new,,,,,,,,g,,5.50,active
nourishing-lip-oil,,,,,,,,Rose Petal,,,,,GL-LIP-002,15,shopify,45,deny,manual,22.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,5.50,active
nourishing-lip-oil,,,,,,,,Berry Flush,,,,,GL-LIP-003,15,shopify,40,deny,manual,22.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,5.50,active
exfoliating-body-scrub,Exfoliating Body Scrub,<p>Luxurious sugar scrub with coconut oil and vanilla. Buffs away dead skin for silky-smooth results.</p>,Botanical Bliss,Body Care,"body, scrub, exfoliating, coconut",TRUE,Title,Default Title,,,,,BB-SCR-001,280,shopify,35,deny,manual,32.00,40.00,TRUE,TRUE,,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=800,1,Sugar body scrub jar,FALSE,,,,,,,new,,,,,,,,g,,8.00,active
peptide-eye-cream,Peptide Eye Cream,<p>Intensive eye cream with peptides and caffeine. Reduces dark circles and puffiness around the delicate eye area.</p>,Glow Lab,Eye Care,"skincare, eye, anti-aging, peptides",TRUE,Title,Default Title,,,,,GL-EYE-001,25,shopify,30,deny,manual,54.00,68.00,TRUE,TRUE,,https://images.unsplash.com/photo-1570194065650-d99fb4b38b15?w=800,1,Eye cream jar,FALSE,,,,,,,new,,,,,,,,g,,13.50,active
sunscreen-spf50,Invisible Sunscreen SPF50,<p>Lightweight invisible sunscreen with broad-spectrum protection. No white cast and perfect under makeup.</p>,Pure Beauty,Sun Care,"skincare, sunscreen, spf, daily",TRUE,Title,Default Title,,,,,PB-SUN-001,65,shopify,55,deny,manual,36.00,45.00,TRUE,TRUE,,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=800,1,Sunscreen tube,FALSE,,,,,,,new,,,,,,,,g,,9.00,active
body-butter,Whipped Body Butter,<p>Rich whipped body butter with shea and mango. Deeply nourishes dry skin with a non-greasy finish.</p>,Botanical Bliss,Body Care,"body, moisturizer, butter, dry skin",TRUE,Scent,Citrus Grove,,,,,BB-BTR-001,220,shopify,30,deny,manual,34.00,42.00,TRUE,TRUE,,https://images.unsplash.com/photo-1608248597279-f99d160bfcbc?w=800,1,Whipped body butter jar,FALSE,,,,,,,new,,,,,,,,g,,8.50,active
body-butter,,,,,,,,Lavender Dream,,,,,BB-BTR-002,220,shopify,25,deny,manual,34.00,42.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,8.50,active
body-butter,,,,,,,,Unscented,,,,,BB-BTR-003,220,shopify,20,deny,manual,34.00,42.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,8.50,active
facial-roller,Jade Facial Roller,<p>Traditional jade facial roller for lymphatic drainage and product absorption. Cools and depuffs tired skin.</p>,Glow Lab,Tools,"skincare, tools, jade, massage",TRUE,Stone,Jade Green,,,,,GL-RLR-001,150,shopify,40,deny,manual,42.00,52.00,TRUE,TRUE,,https://images.unsplash.com/photo-1590439471364-192aa70c0b53?w=800,1,Jade facial roller,FALSE,,,,,,,new,,,,,,,,g,,10.50,active
facial-roller,,,,,,,,Rose Quartz,,,,,GL-RLR-002,150,shopify,35,deny,manual,42.00,52.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,10.50,active
