Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
essential-hoodie,Essential Hoodie,<p>Premium heavyweight hoodie with a relaxed fit. Features a kangaroo pocket and ribbed cuffs for ultimate comfort. 400 GSM French terry.</p>,Street Collective,Hoodies,"streetwear, hoodies, essentials, bestseller",TRUE,Size,S,Color,Black,,,SC-HOD-001-S-BK,650,,15,deny,manual,89.00,110.00,TRUE,TRUE,,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=800,1,Black essential hoodie,FALSE,,,,,,,new,,,,,,,,g,,22.00,active
essential-hoodie,,,,,,,,M,,Black,,,SC-HOD-001-M-BK,650,,20,deny,manual,89.00,110.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,22.00,active
essential-hoodie,,,,,,,,L,,Black,,,SC-HOD-001-L-BK,650,,25,deny,manual,89.00,110.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,22.00,active
essential-hoodie,,,,,,,,XL,,Black,,,SC-HOD-001-XL-BK,650,,18,deny,manual,89.00,110.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,22.00,active
essential-hoodie,,,,,,,,M,,Sage,,,SC-HOD-001-M-SG,650,,18,deny,manual,89.00,110.00,TRUE,TRUE,,https://images.unsplash.com/photo-1578768079052-aa76e52ff62e?w=800,2,,FALSE,,,,,,,,,,,,,,,g,,22.00,active
essential-hoodie,,,,,,,,L,,Sage,,,SC-HOD-001-L-SG,650,,20,deny,manual,89.00,110.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,22.00,active
retro-runner-sneakers,Retro Runner Sneakers,<p>Classic runner silhouette with modern comfort. Features cushioned insole and durable rubber outsole.</p>,Velocity,Sneakers,"footwear, sneakers, retro, running",TRUE,Size,US 8,,,,,VL-SNK-001-8,380,,12,deny,manual,128.00,160.00,TRUE,TRUE,,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800,1,Retro runner sneakers,FALSE,,,,,,,new,,,,,,,,g,,32.00,active
retro-runner-sneakers,,,,,,,,US 9,,,,,VL-SNK-001-9,380,,15,deny,manual,128.00,160.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,32.00,active
retro-runner-sneakers,,,,,,,,US 10,,,,,VL-SNK-001-10,380,,18,deny,manual,128.00,160.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,32.00,active
retro-runner-sneakers,,,,,,,,US 11,,,,,VL-SNK-001-11,380,,10,deny,manual,128.00,160.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,32.00,active
