Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
heritage-chronograph,Heritage Chronograph Watch,<p>Swiss-made automatic chronograph with sapphire crystal. Stainless steel case with exhibition caseback. 42mm diameter.</p>,Maison Temps,Watches,"watches, chronograph, automatic, luxury, bestseller",TRUE,Strap,Black Leather,,,,,MT-CHR-001-BL,180,,5,deny,manual,695.00,875.00,TRUE,TRUE,,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800,1,Heritage chronograph watch,FALSE,,,,,,,new,,,,,,,,g,,175.00,active
heritage-chronograph,,,,,,,,Brown Leather,,,,,MT-CHR-001-BR,180,,4,deny,manual,695.00,875.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,175.00,active
heritage-chronograph,,,,,,,,Steel Bracelet,,,,,MT-CHR-001-ST,220,,3,deny,manual,795.00,995.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,200.00,active
italian-leather-wallet,Italian Leather Bifold Wallet,<p>Handcrafted bifold wallet in full-grain Italian leather. Features 8 card slots and two bill compartments with edge-painted finish.</p>,Atelier Cuir,Wallets,"accessories, wallets, leather, italian",TRUE,Color,Black,,,,,AC-WLT-001-BK,85,,18,deny,manual,185.00,230.00,TRUE,TRUE,,https://images.unsplash.com/photo-1627123424574-724758594e93?w=800,1,Black Italian leather wallet,FALSE,,,,,,,new,,,,,,,,g,,46.00,active
italian-leather-wallet,,,,,,,,Cognac,,,,,AC-WLT-001-CG,85,,15,deny,manual,185.00,230.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,46.00,active
italian-leather-wallet,,,,,,,,Navy,,,,,AC-WLT-001-NV,85,,12,deny,manual,185.00,230.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,46.00,active
signature-fragrance,Signature Eau de Parfum,<p>Sophisticated unisex fragrance with notes of bergamot and oud. Long-lasting sillage that evolves throughout the day. Made in France.</p>,Maison Noir,Fragrances,"fragrances, parfum, unisex, luxury",TRUE,Size,50ml,,,,,MN-FRG-001-50,120,,20,deny,manual,165.00,205.00,TRUE,TRUE,,https://images.unsplash.com/photo-1541643600914-78b084683601?w=800,1,Signature eau de parfum bottle,FALSE,,,,,,,new,,,,,,,,g,,41.00,active
signature-fragrance,,,,,,,,100ml,,,,,MN-FRG-001-100,200,,15,deny,manual,245.00,305.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,61.00,active
silk-pocket-square,Silk Pocket Square,<p>Hand-rolled silk pocket square with signature geometric print. Adds a refined touch to any tailored jacket. Made in Italy.</p>,Maison Noir,Pocket Squares,"accessories, pocket squares, silk, formal",TRUE,Pattern,Navy Geometric,,,,,MN-PKT-001-NV,25,,25,deny,manual,78.00,98.00,TRUE,TRUE,,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=800,1,Navy geometric silk pocket square,FALSE,,,,,,,new,,,,,,,,g,,19.50,active
silk-pocket-square,,,,,,,,Burgundy Paisley,,,,,MN-PKT-001-BG,25,,20,deny,manual,78.00,98.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,19.50,active
