Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
nordic-scented-candle,Nordic Scented Candle,<p>Hand-poured soy wax candle with notes of pine and eucalyptus. Burns for up to 45 hours.</p><ul><li>100% natural soy wax</li><li>Cotton wick</li><li>Reusable ceramic vessel</li></ul>,Hygge Home,Candles,"home, candles, scented, bestseller",TRUE,Scent,Pine Forest,,,,,NH-CND-001,350,,25,deny,manual,34.00,42.00,TRUE,TRUE,,https://images.unsplash.com/photo-1602607034180-7b819bebe47b?w=800,1,Nordic pine scented candle,FALSE,,,,,,,new,,,,,,,,g,,8.50,active
nordic-scented-candle,,,,,,,,Ocean Breeze,,,,,NH-CND-002,350,,30,deny,manual,34.00,42.00,TRUE,TRUE,,https://images.unsplash.com/photo-1603006905003-be475563bc59?w=800,2,,FALSE,,,,,,,,,,,,,,,g,,8.50,active
nordic-scented-candle,,,,,,,,Vanilla Cedar,,,,,NH-CND-003,350,,20,deny,manual,34.00,42.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,8.50,active
linen-throw-blanket,Linen Throw Blanket,<p>Luxuriously soft stonewashed linen throw blanket. Perfect for cooler evenings.</p><ul><li>100% European flax linen</li><li>Stonewashed for softness</li><li>Size: 140cm x 200cm</li></ul>,Maison Textile,Blankets,"home, blankets, linen, bedroom",TRUE,Color,Natural Beige,,,,,MT-BLK-001,800,,15,deny,manual,78.00,95.00,TRUE,TRUE,,https://images.unsplash.com/photo-1616627561839-074385245ff6?w=800,1,Natural linen throw blanket,FALSE,,,,,,,new,,,,,,,,g,,22.00,active
linen-throw-blanket,,,,,,,,Dusty Rose,,,,,MT-BLK-002,800,,12,deny,manual,78.00,95.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,22.00,active
linen-throw-blanket,,,,,,,,Sage Green,,,,,MT-BLK-003,800,,10,deny,manual,78.00,95.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,22.00,active
ceramic-vase-set,Ceramic Vase Set,<p>Set of 3 handcrafted ceramic vases in varying heights. Each piece is unique with subtle variations in glaze.</p>,Artisan Clay,Vases,"home, vases, ceramic, decor",TRUE,Title,Default Title,,,,,AC-VAS-001,1200,,18,deny,manual,65.00,,TRUE,TRUE,,https://images.unsplash.com/photo-1612198188060-c7c2a3b66eae?w=800,1,Set of three white ceramic vases,FALSE,,,,,,,new,,,,,,,,g,,18.00,active
woven-storage-basket,Woven Storage Basket,<p>Handwoven seagrass basket with cotton rope handles. Ideal for organizing blankets or magazines.</p>,Natural Living,Storage,"home, storage, baskets, organization",TRUE,Size,Small,,,,,NL-BSK-001,400,,20,deny,manual,28.00,35.00,TRUE,TRUE,,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=800,1,Small woven seagrass storage basket,FALSE,,,,,,,new,,,,,,,,g,,7.00,active
woven-storage-basket,,,,,,,,Medium,,,,,NL-BSK-002,600,,15,deny,manual,42.00,52.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,10.00,active
woven-storage-basket,,,,,,,,Large,,,,,NL-BSK-003,900,,12,deny,manual,58.00,72.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,14.00,active
minimalist-wall-clock,Minimalist Wall Clock,<p>Clean-lined wall clock with silent sweep movement. Brushed brass hands complement any modern interior.</p>,Modern Time,Clocks,"home, clocks, wall decor, minimalist",TRUE,Title,Default Title,,,,,MT-CLK-001,450,,22,deny,manual,45.00,,TRUE,TRUE,,https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=800,1,Minimalist white wall clock,FALSE,,,,,,,new,,,,,,,,g,,12.00,active
cotton-cushion-cover,Cotton Cushion Cover,<p>Textured cotton cushion cover with invisible zipper. Machine washable for easy care. 50cm x 50cm.</p>,Maison Textile,Cushions,"home, cushions, textiles, living room",TRUE,Color,Cream,,,,,MT-CSH-001,250,,35,deny,manual,24.00,30.00,TRUE,TRUE,,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=800,1,Cream textured cotton cushion,FALSE,,,,,,,new,,,,,,,,g,,6.00,active
cotton-cushion-cover,,,,,,,,Terracotta,,,,,MT-CSH-002,250,,28,deny,manual,24.00,30.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,6.00,active
cotton-cushion-cover,,,,,,,,Charcoal,,,,,MT-CSH-003,250,,30,deny,manual,24.00,30.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,6.00,active
cotton-cushion-cover,,,,,,,,Sage,,,,,MT-CSH-004,250,,25,deny,manual,24.00,30.00,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,g,,6.00,active
wooden-serving-board,Wooden Serving Board,<p>Handcrafted acacia wood serving board with leather strap. Perfect for cheese or charcuterie. 45cm x 20cm.</p>,Artisan Kitchen,Serveware,"kitchen, serving, wood, entertaining",TRUE,Title,Default Title,,,,,AK-SRV-001,650,,20,deny,manual,48.00,,TRUE,TRUE,,https://images.unsplash.com/photo-1606760227091-3dd870d97f1d?w=800,1,Acacia wood serving board,FALSE,,,,,,,new,,,,,,,,g,,13.00,active
